Kingdom	Phylum	Class	Order	Family	Genus
asv223	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ia
asv224	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae uc
asv225	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc
asv226	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10
asv227	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv228	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria uc	Alphaproteobacteria uc	Alphaproteobacteria uc
asv229	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum
asv230	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc
asv233	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv234	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula
asv235	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116	SAR116 uc
asv236	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b
asv237	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Arctic97B-4	Arctic97B-4 uc	Arctic97B-4 uc
asv238	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169 uc
asv239	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86 uc	SAR86 uc
asv240	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116	Cand_Puniceispirillum
asv241	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv242	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae uc
asv243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sedimentitalea
asv244	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
asv246	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ia
asv247	Bacteria	Actinobacteriota	Actinobacteria	PeM15	PeM15 uc	PeM15 uc
asv248	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
asv249	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II uc	Marine_Group_II uc
asv250	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ib
asv251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade III	SAR11 Clade III uc
asv252	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae uc
asv253	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II uc	Marine_Group_II uc
